CreatorID,Name,ImageURL,Bio,Date of Birth,Birthplace
88,Tom Brevoort,88_20060615210834_creator.jpg,None entered.,"January 17, 1967","Queens, New York City, New York, United States"
12,Teddy Halkier Kristiansen,,None entered.,"July 26, 1964",
1004,Steven Harvey Firchow - 'Steve Firchow',,None entered.,6/30/1966,"Lae, New Guinea"
222,Michael J. Zeck - 'Mike Zeck',222_20170429224938_creator.jpg,None entered.,"September 6th, 1949","Greenville, Pennsylvania, USA"
196,John Marc 'J.M.' DeMatteis,196_20060909195042_creator.jpg,"J.M. DeMatteis was a professional musician/singer and rock music journalist before entering comics in the late 70's. |_| |_| Credits include Spider-Man, Moonshadow, Brooklyn Dreams, Justice League, Abadazad, Hero Squared, the Life and Times of Savior 28. |_| |_| Created I, Vampire , Creature Commandos, Moonshadow, Hero Squared (co-creator), Abadazad, Stardust Kid, Savior 28 and more.","December 15, 1953","Brooklyn, New York"
2172,Leo O'Mealia,,None entered.,"March 31st, 1884",
576,Stan Kaye,,None entered.,1916,
186,Alex Sinclair - 'Sinc',186_20090303181103_creator.jpg,"Alex Sinclair is a colorist who has worked in the comics industry. He is well known for his collaborations with Jim Lee and Scott Williams. He has previously worked on Astro City, Alan Moore's Top 10, Harley Quinn and with Lee & Williams on Batman: Hush, Superman, WildCATs, Gen¹³, and Divine Right. He is currently coloring All-Star Batman and Robin which is being written by Frank Miller, and penciled by Jim Lee, along with inker, Scott Williams. He also colored Lee's Infinite Crisis covers. Recently he has worked with artist J.G. Jones on Covers for the popular limited series 52.",December 2,
713,Walden Wong,,None entered.,,
277,Petra Scotese,,None entered.,,
511,Bob Wiacek,511_20060911213510_creator.jpg,None entered.,"January 7, 1953",
45,Danny K. Miki,,None entered.,,
1000,Ed Benes,1000_20070826223113_creator.jpg,None entered.,,
3032,Erik Benson,,None entered.,,
248,Tim Bradstreet,248_20051214213107_creator.jpg,"Eisner Award nominated illustrator ,Tim Bradstreet, was born February 16, 1967 in Cheverly, Maryland. Primarily a self-taught illustrator, he has been working professionally since graduating from high school in 1985. Forgoing institutional art instruction, Tim joined Fantasmagraphics in 1986, where he worked for two years with fellow illustrator Steve Venters. Under the guidance of Venters, Tim began illustrating role-playing games, honing his skills while pursuing his lifelong ambition to draw comics. In 1990 he hit the ground running with industry legend Tim Truman on Dragon Chiang, and never looked back. |_| |_| Over the last seventeen years Tim Bradstreet has illustrated everything from trading cards to comic books to book covers. He began illustrating role-playing games with GDW’s Twilight 2000 and FASA’s Shadowrun. Tim’s ground-breaking work on White Wolf’s Vampire: The Masquerade established him as a critical and counter-culture favorite, and it wasn’t long before he began illustrating for major comic publishers. Tim has since drawn for hundreds of comic and game related projects including FPG’s Dark Age, Myrmidon’s Armageddon, Mary Shelley’s Frankenstein for Topps, Dark Horse’s Hard Looks, Another Chance to Get It Right, X-Wing Rogue Squadron, and Lost in Space, Clive Barker’s Age of Desire, Marvel's The Punisher and Blade, and Vertigo’s Gangland, Unknown Soldier, Human Target and Hellblazer. In 1997 Tim was voted Best Artist By the Horror Writers Guild of America. In 2001 Tim joined director Guillermo Del Toro as a conceptual artist to help visualize the film 'Blade 2.' In the fall of 2002, Tim begins a new direction with a line of art books called 'Archetype.' Subjects in Archetype will range from Vampires and Bounty Hunters to the long awaited world of Bradstreet's 'Red Sky Diary.' |_| |_| Among his many artistic influences, Tim cites illustrators such as Gene Day, Jim Steranko, Paul Gulacy, Jean “Moebius” Giraud, Tim Truman, Eniki Bilal and Mike Mignola, as well as film directors and cinematographers too numerous to name. Bradstreet has been sharpening the edge of fantastic illustration, mesmerizing legions of fans and critics alike with his seductively hip style and darkly alluring characters. Blending together equal parts classical portraiture, cinematography and graphic design, Bradstreet takes a uniquely post-modern approach to character illustration, deconstructing the familiar icons of speculative imagery and reassembling them into mysterious and gothic tableaus of intimacy, strength, hostility, eroticism and despair. His predatory characters pose with languid grace, powerfully self-confident, locking gazes with you as if daring you to shrink back or look away. Facing the denizens of Bradstreet’s harshly lit imagination is as much an act of bravery as it is of observation, and you cannot help but come away from the experience altered by the dark power and terrible beauty of these dangerous images. |_| |_| Bradstreet currently has his sights set on taking his character Gallows and the story of Red Sky Diary to the silver screen. Tim and wife Missy reside in San Diego, California.","February 16, 1967","Cheverly, Maryland"
2,Darick Robertson,2_20100130230606_creator.jpg,"Darick Robertson is an American artist best known for his work as a comic book illustrator. Highly prolific, Robertson has illustrated hundreds of comics in his twenty plus years in the industry. His body of work ranges from science fiction characters of his own creation to headlining on renowned classic characters from Marvel and DC Comics. Robertson is best known as the co-creator and illustrator of the biting satires TRANSMETROPOLITAN and THE BOYS. |_| |_| In January of 2010 he wrote and illustrated CONAN: THE WEIGHT OF THE CROWN for Dark Horse Comics. |_| |_| Darick currently lives in California with his wife and two children. When he's not drawing comics, which is almost all the time, he creates custom action figures, writes music, sings and plays guitar. |_| |_| Original art for sale can be found at tinyurl.com/DarickR",November 10th,California
20,Chuck Kim,,None entered.,,
319,Dick Giordano,319_20060628172853_creator.jpg,"When one mentions the legends that have shaped the history of the comics industry, rest assured that high on that list will be the name of Dick Giordano. |_| |_| Giordano has been active in the comics field since 1951 and credits his major artistic influences as Stan Drake, Alex Raymond and Hal Foster. |_| |_| As a freelance artist, Dick began his career at the Jerry Iger Studio working on Shenna for Fiction House. |_| |_| In the years that followed, Giordano worked his pencil and ink magic for a variety of publishers including Charlton Comics, DC Comics, Marvel Comics, Dell, American Comics, Valiant, Treasure Chest and Junior Life. |_| |_| In addition to his considerable freelance contributions, Giordano has acted as Editor-In-Chief for Charlton Comics, during which he oversaw the creation of their most memorable characters including such classics as The Blue Beetle and Captain Atom. As Executive Editorial Director of DC Comics, Dick was the guiding force behind such award-winning series as Alan Moore’s WATCHMEN, Frank Miller’s DARK KNIGHT RETURNS and many, many more revolutionary concepts. |_| |_| His creative vision at DC Comics resulted in raising the bar for creativity throughout the entire comics industry. |_| |_| Dick Giordano has also been responsible for launching two successful ad-art companies, namely the legendary Continuity Associates (with partner Neal Adams) and Dik-Art, Inc., of which he continues to manage to this day. |_| |_| With his fellow Floridian and former pupil, Bob Layton, Dick has lent his considerable penciling skills to several co-authored projects such as BATMAN: DARK KNIGHT of the ROUND TABLE, BATMAN: HOLLYWOOD KNIGHT, and the six-issue miniseries THE L.A.W. for DC Comics which reunited Dick with his Charlton characters. |_| |_| In recent years, Dick Giordano, along with creative partners Bob Layton and David Michelinie, formed FUTURE ENTERTAINMENT, a multi-media company. |_| |_| Most recently, Dick completed the art for a graphic adaptation of the classic, Moby Dick as well as his literary contributions to a biography of his fascinating career as told by author Michael Eury. This entertaining look at this legend, who has shaped the history of the comics industry, is currently available from The Two Morrows publishing company.","July 20, 1932",New York City
54,Dave Gibbons,54_20060516141214_creator.jpg,"Gibbons broke into British Comics by working on horror and action titles for both DC Thomson and IPC. When 2000 AD was set up, Gibbons was brought in as an Art Director. He also drew one of the original strips in “Prog1”, Harlem Heroes, as well as the occasional Future Shock. After the first year he began illustrating Dan Dare, a cherished project for Gibbons who had been a fan of the original series. |_| |_| He was also known, by sight but not by name, to readers of the short lived IPC title Tornado. Much as 2000 AD was 'edited' by the alien Tharg, Tornado was 'edited' by a superhero, Big E, who also worked on the magazine in his alter-ego, Percy Pilbeam. These characters appeared in photos within the comic, and both Big E and Pilbeam were portrayed by Gibbons for the entire 22 issue run of Tornado before it was subsumed into 2000 AD. |_| |_| After leaving 2000AD, Gibbons became the lead artist on Doctor Who Weekly/Monthly, drawing the main comic strip for most of the issues from #1 until #69. |_| |_| Gibbons was one of the British Comic talents identified by Len Wein in 1982 and was hired to draw Green Lantern for DC. |_| |_| He is best known in the US for collaborating with Alan Moore on the 12-issue limited series Watchmen, now one of the best-selling graphic novels of all time. Moore’s meditation on superheroes in an unsuperheroic age was perfectly completed by Gibbon’s precise and detailed art, usually drawn in a regular nine-grid pattern. |_| |_| Gibbons’ most recent complete work (2005) is a black and white graphic novel, The Originals, which he scripted as well as drew. Published by Vertigo, the work is set in the near future, but draws heavily on the imagery of the Mods and Rockers of the 1960s. |_| |_| His current projects include the DC Comics six-issue limited series The Rann/Thanagar War (which ties into the recently released seven-issue Infinite Crisis limited series) and Green Lantern Corps: Recharge. Gibbons also provides the cover artwork for Albion, the Wildstorm six-issue limited series plotted by Alan Moore and written by his daughter Leah and her husband.","April 14th, 1949",
716,Tom Smith,716_20090225102526_creator.jpg,None entered.,,
690,Jerome K. Moore,,None entered.,,
17,Bob Pinaha,,1989 Harvey Award Nominee for Best Letterer.,,
703,John McCrea,703_20061113175104_creator.jpg,"I was born in Belfast in 1966. All I ever wanted to do was draw: specifically comics. From my primary school days drawing the Bionic Emu to secondary school where I drew nothing but second rate Marvel and John Byrne rip-offs (the Bulk was a good one!) my parents despaired that I would be an out-of-work no-hoper. |_| |_| I persevered, and in the midst of dropping out of a degree in Art and Design in Belfast, I hawked my steadily maturing work around the UK comic conventions and the British comic editors: at 2000 AD, and British Marvel. |_| |_| My first real professional job was on cartoon adaptation the Centurions (many thanks go to Mike Butcher) where some of my beautiful faces were, for some reason, pasted over for publication. They also paid me a pittance. More work soon followed on Action Force (British GI Joe), BLAAAM!, and I eventually got my way into 2000 AD, drawing a few Future Shocks stories. |_| |_| The big break came in 1988, when Garth Ennis (then 18 years old) wrote 'Troubled Souls', and a Northern Irish artist was required. It was me or Will Simpson. I got the job, and a productive partnership was born that has lasted more than 10 years so far. With Garth I've since done For a Few Troubles More, Judge Dredd, the Demon and 'Hitman', to name a few. He also let me get my hands on his Dicks and Chopper. |_| |_| Garth and I have created some fantastic comic characters over the years, but the greatest must be SECTION 8, that misfit band of superheroes from Gotham: Sixpack, Dogwelder (created by Steve Dillon), Bueno Excellente, Shakes, the Defenestrator, Jean de Baton-Baton, Phlegm-gem, and Friendly Fire. I am reliably informed that the action figures of said heroes are not on the way soon. |_| I've been fortunate to work with other talented writers including Alan Grant, Doselle Young, Mark Millar, WarrenEllis and Ron Zimmerman. |_| |_| Now working mainly for D.C. Comics and Marvel. I am a lucky man whose job is the thing he loves. I live in Birmingham, England in a house.",1966,Belfast
391,Peter Steigerwald,,None entered.,,
37,Gary Erskine,,"Born in Paisley, West of Glasgow, Scotland in 1968. |_| |_| Drew comics as a child and convinced myself that I could make a living out of it... Took a while. |_| |_| Been freelancing for about eighteen years and covered a variety of titles and genres. The bibliography gives you an idea of the diversity of the comics I have been lucky enough to work on and the creators who have allowed me to visualise their ideas and characters. |_| |_| Still living in Rutherglen but spent the last year in Heidelberg, Germany with my partner Mhairi Stewart. Splitting my time between the two countries but enjoying the experience of living abroad most of the year. More travelling around Europe planned and we are heading across the other side of the world to Australia in 2007. |_| |_| No kids. No pets.",,
2437,David Meikis,,None entered.,,
244,Will Dixon,,None entered.,,
5084,(Graytones),,None entered.,,
734,Joan Hilty,734_20070706150134_creator.jpg,None entered.,,
475,Rags Morales - 'Ralph Morales',475_20070322155858_creator.jpg,"Ralph 'Rags' Morales started his DC career working on comics based on TSR's role-playing games such as Advanced Dungeons and Dragons. His first super-hero series was the Black Condor. Since then, he has worked on most of DC's major heroes including a long run on JSA and Hawkman, which served as warmups to Identity Crisis. More recent titles include Nightwing, Superman/Batman, and First Wave. |_| |_| He is currently working on the relaunch of ACTION COMICS with Grant Morrison.",,
41,Joey Cavalieri,,None entered.,,
5157,Dave Ulanski,,None entered.,,
979,Lary Stucker,,None entered.,,
145,Carla Feeny,,None entered.,,
212,Sergio Aragonés,212_20131010101750_creator.jpg,Grew up in Mexico City and moved to the United States in 1962.,"September 6th, 1937.","San Mateo, Castellón, España."
242,Tom Palmer Jr.,,None entered.,,
344,Lara Castle,,None entered.,,
160,Paul Reinman,160_20140615185830_creator.jpg,None entered.,2 September 1910,Germany
207,Patrick Brosseau - 'Pat',,None entered.,,
261,Felix Serrano,,None entered.,05.27.73,NYC
388,Dexter Vines,388_20060412050721_creator.jpg,None entered.,,
2196,Ira Schapp,,None entered.,,
1540,Saida Temofonte - 'Comicraft/ST',,None entered.,"December 19, 1970","Rome, Italy"
50,Ralph Macchio,50_20080712125042_creator.jpg,"Ralph Macchio (Last name pronounced approximately 'MAH-kee-oh') is an American comic book editor and writer, who has held many positions at Marvel, including executive editor and editor of their popular Ultimates Line. Macchio is commonly associated with the Spider-Man comics. |_| |_| Macchio began his association with Marvel Comics in the 1970s, primarily because of his many letters published in Marvel comic books. Macchio met writer Don McGregor at a comic book convention, who knowing him from his letters, asked Macchio if he wanted a tour of the Marvel offices. During the tour, Macchio was asked (by writer Chris Claremont) to interview editor-in-chief Roy Thomas for FOOM (Marvel's self-produced fanzine). During the course of doing the interview, Macchio met many more Marvel employees, and eventually was asked by writer/editor John Warner to join the staff and assist Warner with Marvel's black-and-white magazine line. Macchio agreed, and has been at Marvel ever since.",,
179,Nick Dragotta,,None entered.,,
187,Michael Wright,,None entered.,,
62,Stephen Wacker,62_20060928120109_creator.jpg,None entered.,,
68,Shane Ivan Oakley,,None entered.,,
46600,(Blank Cover),,None entered.,,
144,Willie Schubert,144_20090305193744_creator.jpg,None entered.,,
2300,Sol Brodsky,,None entered.,1923,
175,Lee Loughridge,,None entered.,,
476,Michael Bair - 'Michael A. Hernandez',476_20070706152700_creator.jpg,"Michael Bair came into the comic business in 1981, first gaining attention for his pencil work on Eclipse Comics' Aztec Ace series. Michael continued penciling until 1989's Catwoman miniseries. He illustrated Marvel's Hellstorm, Spider-Man/Dr. Strange, Alpha Flight, Ghost Raider, X-Men  and Harris comics' Vampirella before settling in at DC, primarily as an inker. Michael makes his home in Brooklyn.",,
1722,(Typeset),,None entered.,1884,Germany
345,Marie Javins,345_20080829170955_creator.jpg,"Marie Javins never planned a career in comics; she meant to go into public radio.  She interned for  Marvel's Epic Comics in 1988, and somehow ended up staying.  Her exit from  Marvel was barely into its planning stage when student loans caught up to her.  Instead of changing careers, she adopted a second one.  Editing by day and coloring by night got her critical acclaim as a risk-taking editor and solid colorist.  After waffling through 13 years of on-again off-again editing, Marie finally gave  Marvel the heave-ho in late 2000 when she gambled the proceeds from her East Village condominium sale on the trip of a lifetime.  She planned a yearlong trip around the world—alone—by surface transport.  She'd take no planes, go across oceans by cargo ships, and would (with the help of   Comicraft) post the whole trip live on the internet for armchair travelers.  In turn, the readers would vote on her route and important decisions as she went.  A year of outsmarting corrupt authorities and extricating herself from creepy situations left Marie no closer to her goal of beating the travel bug by overdosing on it.  She's still eyeballing Senegal, Tunisia, and Romania as her next 'highly-desired' destinations.  But first, she's finishing off   Marie's World Tour by authoring a travel narrative about it.  Slow Boat To Everywhere will feature seven comic strips in addition to 14 chapters of madcap narrative.  Marie is also the publisher of Scorched Birth, from Pig Run Press, and likes to take apart Macs.  She currently divides her time between New York and her adopted home of Crystal Creek, Australia.",,New Zealand
206,Phil Balsman,,None entered.,,
292,Alex Ross,292_20051003024042_creator.jpg,"Looking back, it makes perfect sense that Alex Ross would become one of the world's most pre-eminent and well-respected comic book artists. It's a job he's been preparing for nearly all his life. |_| |_| Born in Portland, Oregon, and raised in Lubbock, Texas, Alex made his artistic debut at three when, according to his mother, he grabbed a piece of paper and drew the contents of a television commercial he'd seen moments before. Ross came from an artistic family: his mother was a commercial artist and his grandfather, he recalls, 'built working wooden toys and loved drawing.' When Ross discovered Spider-Man on an episode of The Electric Company, his life was changed forever. 'I just fell in love with the notion that there were colorful characters like this, performing good, sometimes fantastic deeds,' Ross says. 'I guess I knew this was what I wanted to do. I wanted to bring these characters to life.' |_| |_| Some cynics might confuse this attitude with escapism. For Ross, it's just the opposite. 'It?s a fun environment to be in,' he admits. 'Superheroes are a mixture of every form of fiction—myth , science-fiction, mystery and magic—all in one giant pot. The best characters embody virtues we may try to find in ourselves.' |_| |_| Ross is quick to credit his father Clark, a minister, with laying the moral framework that allowed him to appreciate the routinely good deeds performed by the likes of Superman and Spider-Man. 'My dad has given aid—physical aid, not just financial—to a number of charities and causes. He's helped at homeless shelters. He used to run a children's shelter in Lubbock. There was a positive effect to being around him, and his actions tied into what the superhero comics were teaching me. Superheroes aren't heroes because they're strong; they're heroes because they perform acts that look beyond themselves.' |_| |_| As he edged towards adulthood, Ross began reading comics and taking his draftsmanship seriously, admiring the work of comic book illustrators George Perez and Berni Wrightson in particular. 'They were at opposite ends of the spectrum,' Ross recalls. Wrightson, probably best known as the co-creator of Swamp Thing, 'used a lot of delicate lines to delineate shadow and tone. There weren't a lot of comic book artists employing shadows back then. Pérez, on the other hand, had a very attractive, open style with open contour lines and very little shadow. When I was 12, I would imitate Pérez's style when I drew superheroes and Wrightson;s style when I was doing 'serious' work. I realized there was no one way to go.' |_| |_| This philosophy became especially true when Ross discovered such illustrators as Andrew Loomis and the great Norman Rockwell. 'I idealized people like Rockwell, who drew in that photorealistic style,' Ross says. 'When I was 16 or so, I said to myself, 'I want to see that in a comic book!' |_| |_| Even as a young man, however, Ross knew 'there was no satisfaction in basing my style upon the work of someone else.' So, while his friends were exploring the uncharted territories of adolescence, Ross devoted his time to becoming a draftsman, with the long-term goal of making people believe a man could fly. |_| |_| 'High school can be a chaotic time,' he says. 'Through my art and through what these characters represented, I found a sense of order that I wanted to apply to my life. It's not that I wasn't interested in dating or socializing. It's just that part of me didn't want to let go of the colorful characters I'd loved for so long.' |_| |_| At the age of 17, Ross went to Chicago and began studying painting at the American Academy of Art, the school where his mother had studied. 'My time at the Academy was really valuable,' he recalls. 'I learned where I was as an artist and what kind of discipline I'd already learned. Here I was, drawing from a model for the first time and realizing I could represent the model. Not everyone in the class could do that. It was important to make that discovery.' |_| |_| Studying at the Academy also allowed Ross to examine fine art in greater depth. 'Salvador Dali wound up being a big influence, actually,' he says. 'He had a vivid imagination and a hyper-realistic quality that wasn't so far removed from comic books. I began to study the classic American illustrators like Rockwell, J. C. Leyendecker. I've been called 'The Norman Rockwell of comics' more than a hundred times. I'm not going to suggest I?m on the same level as Rockwell, but attempting that sort of realism in my work has always been part of my approach.' |_| |_| It was at the Academy that Ross hit on the idea of painting his own comic books. 'There wasn't any moment where I saw the light and said, 'Painted comics! That's the way!' he recalls. 'It was a by-product of my studies. There wasn't any program that taught me to ink a comic book. There were programs that taught me to paint. I just naturally thought, 'Well, of course I'm going to apply that to comics.' There were also enough painted comics out there—not a lot, but a few—that made me think that talent could be applied.' |_| |_| There was also, Ross admits, a sense of wish fulfillment involved. 'Hopefully by painting the work, you gain a sense of life and believability that will draw the reader in a little more. You can use color and light and shadow and live models to give the work a certain realism. It might be easier to relate to a character if you look at it and say, 'Here's an actor portraying someone. Here's something that looks real.' I thought it would draw people in and maybe add to their enjoyment of the work. There's also a part of me that likes to speculate: 'What if they made a movie about this character?' I realize some of my favorite characters will never get the movie treatment, so it's up to me to present them in a lifelike fashion, to make the movie that would otherwise never get made.' |_| |_| After three years at the American Academy, Ross graduated and took a job at an advertising agency. Meanwhile, Marvel Comics editor Kurt Busiek had seen Alex's work and suggested the two men collaborate on a story. Those plans came to fruition in 1993 with Marvels , a graphic novel that took a realistic look at Marvel superheroes by presenting them from the point of view of an ordinary man. The book landed Ross his first serious media exposure, both within the industry and outside it. Fans appreciated that Ross had an obvious affection for the characters he painted, demonstrated by his attention to detail and the fact that he took the time to make these characters look so believable. |_| |_| Ross followed up Marvels with Kingdom Come , a futuristic story for DC Comics about a minister who must intercede in a superhero Civil War. It was a visual feast, filled with surprise cameos, in-jokes and a main character based on Ross' father, allowing Ross to publicly acknowledge his family's influence. |_| |_| Having established himself creatively and financially with superhero projects, Ross turned to the real world with Uncle Sam , a 96-page story that took a hard look at the dark side of American history. Like Marvels and Kingdom Come , the individual issues of Uncle Sam were collected into a single volume—first in hardcover, then in paperback—and remain in print today. |_| |_| Ross' recent works have celebrated the 60th anniversaries of Superman, Batman, Captain Marvel and Wonder Woman with fully painted, tabloid-sized books, depicting each of these characters using their powers to inspire humanity as well as help them. |_| |_| 'I do the gigs I do because I care about the material,' he says. 'In some cases, it's because I like the character. In some cases, I have a vision in my head of something I must do. It all involves artistic expression. If I can't get into the work on some artistic level, I can't do it.' |_| |_| In recent years, Ross has applied his artistic skills to outside projects with comic book roots, including a limited-edition promotional poster for the 2002 Academy Awards. A number of items created especially for the Warner Bros. Studio Stores —including lithographs, collector's plates and even a canvas painting of Superman—made him the best-selling artist in the chain's history. |_| |_| In the fall of 2001, Ross painted a series of four interlocking covers for TV Guide (featuring characters from the WB series Smallville ) and designed and sculpted a series of busts based on characters he created for the Marvel series Earth X. 'Designing the statues,' Ross explains, 'was a case where I said, 'Hey, I know I can do this, and before somebody else does it—maybe differently from the way I would like it done—I can sculpt some of the characters for which I?m well-known and make sure they look the way I want them to look.'  My comics work notwithstanding, I prefer not having to rely on the labors or plans of others. For the fans' sake as well as for my own, I want to take full responsibility for the projects that bear my name.' |_| |_| Forty years ago, Spider-Man learned that with great power comes great responsibility. Looking at Alex Ross, it's obvious the lesson took. Ross' career offers another important message: follow your dream. Actually, it's not far from the sort of message you might find in one of his stories. |_| This entry uses material derived in whole or in part from alexrossart.com","January 22, 1970","Portland, Oregon, U.S."
19,Gregory A. Wright,,"grew up in New Castle, Pennsylvania.",December 22,"Cleveland, OH"
91,Matt Wagner,91_20070813130357_creator.jpg,None entered.,"October 9th, 1961","Lewistown, Pennsylvania, USA"
221,James R. Sinclair - 'Jim',,"Jim Sinclair (born in San Jose, California) is an American comic book artist best known for his runs on The Maxx and various projects with writer/artist Sam Kieth as a Finisher/Inker. Also Jim worked on several projects with Kelley Jones as an Inker [Air Raiders, Chrome, Sun Runners Christmas Special, Terraformers, Micronauts #14 [Uncredited]. He has done work for DC Comics, Image Comics, Marvel Comics, as well as independent comic companies such as Eclipse Comics, Hot Comics, Innovation Comics, Sirius Comics, Wonder Color Comics, plus others. |_| |_| Jim started out as a background inker for Art Nichols, assisting him inking on such books as King Conan, Red Sonja, and Aztec Ace. One day Art Nichols accepted the job of inking Sun Runners for Eclipse Comics but found he had overbooked himself. Jim ended up getting the job as inker, with Art’s full backing, thus ending his stint as Art's assistant. This led to other Eclipse inking jobs, then work with Marvel, DC Comics and many independent comic companies. Jim shared an art studio with Batman, Sandman, Deadman artist Kelley Jones in the late 1980s which led to several projects in which they worked together. |_| |_| In 1993, Sam Kieth approached Jim to work with him on his new series for Image Comics, The Maxx. Sam Kieth and Jim Sinclair had worked previously on DC Comics' Secret Origins featuring the first origin telling of Batman’s nemesis, The Penguin. This led to many years of collaboration between Sam Kieth and Jim Sinclair, working on The Maxx, Friends of Maxx, Legs, Four Women, Zero Girl, and others. In 1995, The Maxx was turned into a cartoon series for MTV’s Oddities show, also animating the series Aeon Flux. Jim supplied artwork for the show and is listed as Background Artist in the credits. The Maxx series is still in print being offered in Hardcover, TPB, Digital, and in an Artist Edition form from IDW Publications. |_| |_| Jim Sinclair is also a graphic artist/web designer/technical writer and has been supplying those services to Sacramento companies since the late 1980s.",09-27-1959,"San Jose, CA"
257,Vince Locke,,None entered.,,
120,Andrew Helfer,120_20060412035223_creator.jpg,None entered.,,
818,Janet Jackson - 'JayJay Jackson',818_20080522115916_creator.jpg,None entered.,,"San Antonio, Texas"
999,Antony J.L. Bedard - 'Tony Bedard',999_20081003133137_creator.jpg,None entered.,,
910,Steve Mitchell,,None entered.,,
