CharacterID,CharacterName,CharacterRealName,CharacterPicture,CharacterPowers,CharacterBiography,CharacterWeaknesses,ComicID
32,"Wiccan (Marvel)(01 - Billy Kaplan)","Billy Kaplan",32_20060411124514_char.jpg,"As Wiccan, Billy Kaplan possesses a spellcasting talent that may or may not be related to a reality warping power. While patterning himself after Thor in the guise of Asgardian, Billy limited himself entirely to flight and lightning based spells. Also he ","Billy Kaplan is the eldest of three sons born to Reform Jews Jeff Kaplan (a cardiologist ) and Rebecca Kaplan (a psychologist) Regularly bullied in school, Billy found solace outside the gates of the Avengers Mansion. One day, Billy encountered the Avenger the Scarlet Witch, who told him to stand his ground the next time it happens. She then touched his head, causing a red light to flash briefly. The flash heals Billy's wounds and a few weeks later he stands up for another kid being bullied, and demonstrates his powers for the first time, but is not fully prepared for their effects. He was one of the Young Avengers chosen as a result of the Vision's plan for the reformation of the Avengers, in the event the team ever disbanded. He originally chose the code name Asgardian, but later changed it to Wiccan. The full extent of his powers are unknown, though they include flight and lightning generation. He can cast spells using a technique learned from \"self-help books\"" owned by fellow Young Avenger Hulkling's mother. By chanting a mantra/statement of intent (for example",,0
33,"Hulkling (Marvel)","Teddy 'Dorrek VIII' Altman",33_20101113072722_char.jpg,"Like all Skrulls, Hulkling can change his shape to impersonate any other being. He often assumes the appearance of a muscular green humanoid, and sometimes sprouts wings from his back enabling him to fly. He has as-yet-unquantified superhuman strength.","Shape-shifter with super strength that likes to look like the Hulk. In a romantic relationship with Billy Kaplan aka Wiccan. Son of Captain Mar-Vell and the Skrull Princess, Anelle, and as such is half Kree, half Skrull.",,0
34,"Green Lantern (DC)(03 - Guy Gardner)","Guy Darrin Gardner",34_20060822050627_char.jpg,"As a Green Lantern (and briefly after the Corps were disbanded), Guy Gardner wields a power ring fueled by the central battery that conforms to his will.","*** Origins *** He graduated from (U of M) and left the school with a Bachelor's in Psychology and Education. He also took many classes in engineering as well as playing in several sports. Sadly, when he came back home to his family, things were worse than before. His brother had been kicked off the force for the extortion of several drug dealers. Apparently, Mace had been blackmailing them. Mace drowned himself in a local river apparently from depression. This event drove their father's alcoholism to a whole new level, and it ended up killing him. Guy always struggled with his anger and aggression and because of this demon he decided to use his career to help others with the same problem. Guy became a social caseworker and helped prison inmates. One of these inmates ended up being Hal Jordan. Hal was in the correctional facility because of an alcohol problem. This most likely resonated with Guy because of his own father. While Guy and Hal ware in prison during a huge prison riot, Guy lost his temper, and in a rage he attacked one of the inmates. Guy Gardner started out as the backup Green Lantern for Hal Jordan. He has since become one of the most prominent Green Lanterns of the Corps, despite possessing an egocentric personality. He has recently deserted his Green Power Ring in favor of the Red Ring of rage. Guy's will and rage are some of the most impressive in the entire Emotional Spectrum. Guy Gardner was originally tapped to become a Green Lantern. Eventually the ring was taken away from him. Searching for new powers brought him to the tomb of Sinestro where he gained his yellow power ring. That ring still needed to be charged with a Green Battery. So after Parallax destroyed the central battery, Guy was powerless again. Until he went in search of the Warrior Water. After drinking that water, he gained the ability to transform his body into any living weapon he could imagine. Later, he \"kinda\"" died in Our Worlds At War","Before the existence of Parallax was revealed, Green Lantern rings could not affect anything yellow, a phenomenon known as the \"yellow impurity.\"" Now well-trained Lanterns such as Gardner can affect any items including yellow ones."",0
35,"Green Lantern (DC)(02 - Hal Jordan)","Harold 'Hal' Jordan",35_20060822050054_char.jpg,,"Home world Earth Sector 2814.",,0
36,"Kilowog (DC)",Kilowog,36_20110904152157_char.jpg,,"Kilowog is the Green Lantern of Space Sector 674. He is also the Green Lantern Corps drill sergeant. Kilowog is from the planet Bolovax Vik in Sector 674 where he was a genetic scientist. When he was recruited into the Green Lantern Corps he was trained by Lantern instructor, Ermey. It was from Ermey that Kilowog learned the phrase \"Poozer\"" for a \""useless rookie\""","Mental Incapacitation: The ring cannot be wielded correctly if the wearer is under the influence of drugs or if there is an involvement of neural interference. •Yellow Impurity: In the beginning the Green Ring was vulnerable to the color yellow. It was un",0
37,"Green Lantern (DC)(04 - John Stewart)","John Stewart.",37_20060313193635_char.jpg,,"Home world Earth Sector 2814.",,0
38,"Stature (Marvel)","Cassandra 'Cassie' Eleanor Lang",38_20081004115656_char.jpg,"Stature has the ability to grow many times her size at will.  She is also able to shrink to microscopic size.","Daughter of the late Scott Lang ( the second Ant-man ), Cassie accidentally found out that she can grow to giant size when confronted by the Young Avengers while looking for her father's things at Avengers Mansion. Following her father's death, Cassie sought out Tony Stark for answers as to why and how her father died.  This directly led her into a conflict with her mother and step-father that prompted Cassie to run away from home.  She saw the Young Avengers on TV and, although unaware of her powers, she decided to get her father's spare costume and equipment from Avengers Mansion and join the new team. In a fit of anger, she grew for the first time.  She revealed that she had been secretly exposing herself to Pym Particles for years. Although only 14, she managed to use her powers bravely in a battle with Kang the Conqueror and joined the Young Avengers , much to the chagrin of the adult Avengers. Cassie later discovered the ability to shrink at will.  She joined Hank Pym's “Mighty Avengers” team, along with Young Avenger teammate, The Vision .",,0
39,"Katherine 'Kate'  Bishop (Marvel)",,39_20070815141032_char.jpg,,"The daughter of rich publishing magnate Derek Bishop, Kate Bishop never felt comfortable with wealth; like her mother, she donated time and money to soup kitchens, women’s shelters, and other worthy causes. After her mother was killed, Kate became even more active in charity. Later attacked and raped in Central Park, Kate received the best therapy that money could buy; she also undertook an intensive physical fitness and self-defense training regimen. Determined never again to let herself or anyone else be victimized if she could prevent it. At her upscale private school, the Hawthorne Academy, and at the elite Interlochen National Music Camp, Kate studied archery, fencing, kickboxing, and various martial arts. A major social event, Kate’s sister’s wedding at New York’s St. Patrick’s Cathedral was interrupted by five gunmen who held the guests hostage when the police cornered them inside. When the novice heroes known as the “Young Avengers” subdued most of the gunmen, Kate tried to join the fight and ended up with a gun to her head, but used one of Patriot’s throwing stars to down her assailant. Kate’s “heroics” made the evening news, and when Cassie Lang sought her out trying to locate the Young Avengers, the two girls tracked the group to the ruins of Avengers Mansion, where the senior Avengers were trying to convince their youthful counterparts to disband. Carefully observing Iron Man as he unlocked the doors, Kate used his passcodes to free Cassie and the Young Avengers after the Avengers confined them for their own safety. She also scavenged costumes and weaponry from nearby rooms, outfitting herself with equipment formerly used by past Avengers members Hawkeye (Clint Barton), Mockingbird (Bobbi Morse), and the Swordsman (Jacques Dunesque). When the Avengers and Young Avengers battled Kang, Kate fought beside them, but afterwards was forced to surrender the equipment. Unwilling to give up the chance to make a real difference, Kate pushed the other Young Avengers to remain together, using her father’s funds to purchase new costumes and weaponry for the team. Appropriating an empty publishing warehouse of her father’s to use as team headquarters, she arranged its refitting and refurnishing. When Patriot left the group, she acted as unofficial leader in his absence despite being the only Young Avenger without powers and the only member who had not been part of the Vision’s Failsafe Program (a list of young Avengers-connected adventurers and potential adventurers compiled by the Vision as a means of recruiting the next generation of Avengers should the original team be dissolved; Iron Lad accessed the list, using it to form the Young Avengers). Kate had a hard time coming up with a code-name. During a battle between the Skrulls and the Kree the Young Avengers fought alongside the New Avengers. After which Jessica Jones delivered a gift from Captain America: the original Hawkeye's bow and arrows along with his code-name.   Officially making Kate the new Hawkeye",,0
40,"Deadman (DC)","Boston Brand",40_20061220045659_char.jpg,,"Circus aerialist Boston Brand was killed in the middle of his act, but granted leave to return to Earth by a being called Rama Kushna. Brand was invisible to human eyes but could take over the body of another for a short time, leaving his 'host' with no memory of what has happened. In this way, he has been able to fight against mystical threats as well as to force wrongdoers to incriminate themselves and also to have a lot more fun than he ever did while he was alive.",,0
42,"Fire (DC)","Beatriz Bonilla DaCosta",42_20070301201450_char.jpg,"Originally Beatriz's only power, gained from a saturation by the organic energy source Pyroplasm, was the ability to breathe a jet of green flame from her mouth (this accident also permanently dyed her hair green as well). The fact that this wasn't terrib"," Fire found her powers greatly magnified as an after-effect. The \""new\"" Fire was now able to completely turn into a being of green flame"," after a period of illness",0
43,"Power Girl (DC)","Karen Starr (Kara Zor-L)",1/16/43_20051121232903_char.jpg,"All of Superman's (Kal-L) powers.","Power Girl is the Earth-Two equivalent of Supergirl, native Kryptonian and cousin to Superman. Her origins have changed several times in continuity when the Multiverse was erased Post-Crisis, and she has also been seen as a descendant of Arion with ties to Atlantis. The distinctive costume she wears lacks an emblem, and she uses this as an advantage to distract others in combat. She has been a member of the Justice League, the Justice Society, Infinity, Inc., Birds of Prey, the Suicide Squad and the Sovereign Seven.","Standard Kryptonian weaknesses.",0
48,"Batman (DC)(03 - Post-Crisis)","Bruce Wayne",1/4/48_20050925072425_char.jpg,,"Bruce Wayne is the Batman, a man with a mission, not of vengeance but a long-term plan to rid Gotham from the evil that holds it. As a philanthropist he supports charities and bodies that seek to rehabilitate criminals while as the Batman he removes those that persist in offending. Those in the suburbs and country consider him an urban legend, yet the transient criminal population of Gotham and the country know him from rumor and experience.",,0
49,"Green Lantern (DC)(01 - Alan Scott)","Alan Wellington Scott",1/24/49_20051207202137_char.jpg,,"\"Eons ago the Guardians of the Universe trapped most of the universe's magical energies onto an orb called the Starheart.  A fragment of this object gave rise to Alan Scott's ring and power battery.  Unlike Corps equipment",,0
50,"Flash (DC)(01 - Jay Garrick)","Jason Peter 'Jay' Garrick",1/6/50_20051028164048_char.jpg,,"Jason Peter \"Jay\"" Garrick was a college student in January 1940 who accidentally inhaled heavy water vapors after falling asleep in his laboratory where he had been smoking. As a result",,0
51,"Flash (DC)(02 - Barry Allen)","Barry Allen",51_20060930214059_char.jpg,"Super speed.","Police scientist Barry Allen is working in the lab when a freak electrical storm strikes and with a flash of lightening he is dowsed with a mixture of chemicals causing him to become the Flash.",,0
52,"Flash (DC)(03 - Wally West)","Wally West",1/6/52_20051028163217_char.jpg,"The first Flash to have a conscious connection to and ability to manipulate the Speed Force — the cosmic source of all super-speedsters' powers. Able to perform feats at faster-than-faster-than-light speed. He can use his speed and power over the speed fo","None entered.",,0
55,"Jake 'Bobo' Bennetti",,55_20131226171741_char.jpg,,"None entered.",,0
56,"Matt O'Dare",,,,"None entered.",,0
57,"Hope O'Dare",,,,"None entered.",,0
58,"Mason O'Dare",,58_20131226172010_char.jpg,,"None entered.",,0
59,"Barry O'Dare",,,,"None entered.",,0
60,"Faith O'Dare",,,,"None entered.",,0
61,"Clarence O'Dare",,,,"None entered.",,0
62,Gambler,"Steven Sharpe",62_20091031155805_char.jpg,,"None entered.",,0
64,"Star-Spangled Kid (DC)(02 - Courtney Whitmore)","Courtney Elizabeth Whitmore",64_20070121145606_char.jpg,,"Courtney is the stepdaughter of Pat Dugan. She finds Pemberton's gear in her stepfather's belongings and dons the Cosmic Converter Belt, with a costume of her own design. She begins her career as the second Star-Spangled Kid in order to annoy Dugan as partial revenge for him marrying her mother and supposedly forcing the family to move from Los Angeles to Blue Valley, Nebraska. Dugan, a skilled mechanic, designs and builds S.T.R.I.P.E., an armored robot which he rides in to accompany and protect her. Eventually, she joins the JSA and, after being given Starman Jack Knight's cosmic rod, changes her identity to Stargirl.",,0
65,"Professor X (Marvel)","Charles Francis Xavier",65_20061202064114_char.jpg,"Professor Charles Xavier possesses vast and incredibly powerful psionic powers, and is generally considered to be the most powerful telepath on Earth. With his powers he is able to easily read minds, project his own thoughts into the minds of others and i","None entered.",,0
66,"Marvel Girl (Marvel)(01 - Jean Grey)","Jean Grey",66_20060308113207_char.jpg,"+ Telepathy (Born with the power to read minds. She has felt blessed by the ability to reach out and touch another's mind. She can share their pain, their joy, their feelings of hopeleness, of hapiness). + Telekinesis (power to move objects with mere thou","Jean Grey is a mutant born with vast telepathic and telekinetic powers. She is a caring, nurturing figure, but she also must deal with being an Omega-level mutant and the physical manifestation of the cosmic Phoenix Force. She faces death several times in the history of the series, first in the classic \"Dark Phoenix Saga",,0
67,"Iceman (Marvel)","Robert Louis 'Bobby' Drake",67_20060308113659_char.jpg,"Iceman is able to lower his external and internal body temperature without harm to himself, thereby radiating intense cold from his body. Iceman is able to reach -105 degrees Fahrenheit within a few seconds, and is immune to sub-zero temperatures around h","Bobby Drake discovered his mutant power to create ice while in his early teens, yet kept his condition hidden from everyone but his parents. Initially, Bobby was unable to stop feeling cold and shivering, but soon managed to keep it under control. When a bully named Rocky Beasely and his friends attacked Bobby and his then-girlfriend, Judy Harmon, the youngster panicked. To save Harmon, Bobby temporarily encased Rocky in ice, thus revealing his abilities for all to see. Believing the boy to be a menace, the townspeople organized a lynch mob. They broke into Bobby's home and overpowered him, but the local sheriff took the teenager into custody for his own protection. Meanwhile, the situation had come to the attention of Professor Charles Xavier, the telepathic mentor of the team of teenage mutant super heroes the X-Men. Professor X dispatched his first X-Man, Cyclops, to contact Bobby. Cyclops stole into the jailhouse as planned, but the two began fighting when Bobby refused to accompany him. Caught by the lynch mob, Cyclops and Bobby were about to be hanged when they broke free. Professor X used his mental powers to halt the townspeople in their tracks and erase their memories of Bobby's powers. A grateful Bobby then accepted Xavier's invitation to enroll at his School for Gifted Youngsters and took the codename Iceman. Though initially manifesting as a snow-like form, Bobby soon learned to increase his degree of cold control resulting in an ice-like, almost transparent form. Hated and feared by humanity, the X-Men honed their amazing abilities while standing in defense of a world pushed to the brink of genetic war by a handful of mutant terrorists. Iceman, the team's youngest founding member, became known as the comedian of the group. Regardless, he pulled his weight and worked well with rest of the team. Following a short break-up after believing their mentor was dead, the X-Men reformed with two new members - the magnetism-manipulating Polaris and the plasma-charged Havok. Bobby had a brief romantic relationship with Polaris until she realized that her heart belonged to Havok. Bobby had trouble accepting her decision, which led to increased tension between himself and Havok. Eventually, Bobby quit the team for a short time to sort out his feelings. Later, when the sentient island-being known as Krakoa took Bobby and his team mates captive, Professor X assembled a second team of X-Men to rescue them. Soon after, most of the founding members left the team and Bobby began attending college on a scholarship. Eventually, he helped his former team mate Angel form the Champions of Los Angeles. When the Champions disbanded, Bobby went missing, and Angel teamed up with the costumed adventurer Spider-Man to find him. Bobby had been hypnotized by the Champions' enemy Rampage into donning his battle suit, and Angel and Spider-Man were forced to battle him. After Rampage was defeated, Bobby quit his life as a costumed adventurer and returned to college full time to study accounting. Later, Bobby was contacted by Professor X to assist in rescuing friends and family of the X-Men from the assassin known as Arcade. Along with other former X-Men Banshee, Polaris, and Havok, the ad-hoc team managed to free the hostages and Bobby finally came to accept Polaris' love for Havok. During a summer break from college Bobby went to visit his former X-Men teammate Beast and soon became involved with the loose-knit collection of costumed heroes known as the Defenders. Along with Beast and Angel, Bobby helped reorganize the team into a more formal and cohesive unit. The Defenders eventually disbanded when several of their members appeared to perish during a climactic battle. Soon after, Bobby joined the other founding X-Men to form X-Factor, an organization that intended to seek out and aid other mutants under the pretense of hunting down those perceived menaces to society. During his time with the team, the Asgardian trickster god Loki captured Bobby, hoping to use him to gain control over the Frost Giants. Loki enhanced Bobby's powers to such an extent that he was forced to wear a power-dampening belt that was originally created by the subversive organization known as The Right to cancel out his powers. Once able only to sheathe his own body in a protective coating of ice, Bobby found he could encase the entirety of the Empire State Building. With time, Bobby gained sufficient control over his augmented powers that he was able to stop using the inhibitor belt. Believing he had achieved his full potential, Bobby never attempted to push himself beyond his perceived limits. When Professor Xavier returned to Earth following an extended absence in outer space, Bobby and the other members of X-Factor rejoined the X-Men. Shortly thereafter, Bobby confronted former Cosmonaut Mikhail Rasputin, the reality-warping mutant brother of Bobby’s steel-skinned teammate Colossus. Rasputin forced Bobby into a form composed entirely of ice, affording the young mutant a glimpse into his true nature. Subsequently, Bobby began experimenting with his abilities - using ice to add mass to his slight frame, or lift himself high into the air without the benefit of his usual slides. Months later, the psychically incapacitated mutant telepath Emma Frost took mental possession of Bobby's body. Frost was able to activate the full extent of his powers, using his powers in ways Bobby had not thought possible until she was coaxed back into her own body by Professor X. With Frost's prodding, Iceman later learned to completely transform his body into its full ice state on his own. Frost later also showed Bobby that he could safely revert back to his human form after his ice form's chest had been shattered in battle. Bobby later took a leave of absence from the X-Men to spend more time with his father who had been injured by the grass roots anti-mutant movement the Friends of Humanity. He returned briefly to the X-Men to rescue mutant doctor Cecilia Reyes during the government-sponsored anti-mutant Operation: Zero Tolerance, after which he returned to his father's side. Two subsequent events served to shed further light on Iceman's untapped potential. To secure a new host body, the would-be conqueror Apocalypse sought to siphon the awesome energies of \"The Twelve\"" - mutants of incredible power",,0
