CreatorID,CreatorName,CreatorPicture,CreatorBiography,CreatorDOB,ComicID,CreatorBirthplace
14,"Bjarne Hansen",,"None entered.",,0,
15,"Kim Hagen",,"None entered.",,0,
16,"John E. Workman Jr.",,"None entered.","June 20, 1950",0,"Beckley, West Virginia"
17,"Bob Pinaha",,"1989 Harvey Award Nominee for Best Letterer.",,0,
18,"Ken Bruzenak",,"None entered.",,0,
19,"Gregory A. Wright",,"grew up in New Castle, Pennsylvania.","December 22",0,"Cleveland, OH"
20,"Chuck Kim",,"None entered.",,0,
21,"Archie Goodwin",21_20100628183313_creator.jpg,"None entered.",09/08/1937,0,"Kansas City, MO"
22,"Steve Yeowell",,"Having trained in 3D design (specialising in silversmithing and jewellery), Yeowell began drawing comics purely for pleasure, with no particular intention to become a professional artist. Having shown his portfolio to artist Bryan Talbot, he quickly found himself given work by Swiftsure (on the Lieutenant Fl'ff strip), Action Force, ThunderCats and Zoids comics. This last put him in touch with writer Grant Morrison, who then picked Yeowell to be the sole artist on new superhero strip Zenith, to run in 2000 AD beginning in 1987. Zenith was a popular success, running to four full-length series plus many one-offs. Yeowell was headhunted by American comics companies and has worked on Batman, The Fantastic Four, The Invisibles,[1] JSA and Starman. He continued his association with Morrison, collaborating on Sebastian O and The New Adventures of Hitler. Yeowell's work is noted for delicate penmanship and lifelike facial expressions, with a notable economy of style that means that his work suits both colour and monochrome treatment. He works with a dip pen (Gillot 404 nib) and a Windsor & Newton Series 7 No.3 sable brush, as well as Rotring and marker pens, on 220 g/m² Daler Rowney Heavyweight Cartridge Paper. The concentration on human features means that Yeowell's work is held to suit superhero, science fiction and historical genres equally. Recent work has included The Red Seas, an eighteenth-century pirate story scripted by Ian Edginton and science fiction Triad tale Red Fang by Steve Moore.",,0,
23,"Wade von Grawbadger",,"None entered.",,0,
24,"Patrick 'Pat' Garrahy",,"None entered.",,0,
25,"Bill Oakley",,"None entered.","April 1st, 1964",0,
26,"James H. Williams III - 'J.H. Williams III / Jim'",26_20150606185323_creator.jpg,"None entered.",,0,
27,"Guy Davis",27_20080525174123_creator.jpg,"Michigan based artist Guy Davis has been sketching and drawing as long as he can remember and has been content to go where his art would take him. A self-taught illustrator, Guy first tried his hand at cartooning with a strip that ran in his hometown newspaper during his high school years— which by all accounts is worth forgetting. It was after graduating and not really having any idea of what to do with himself outside of drawing, that he decided to try and continue in comics. In 1984 he created a tongue in cheek space opera “Quonto of the Star Corps” for the small press “Fantastic Fanzine”. Quonto was forgotten but the fanzine would later become Arrow Comics and lead to work on the comic series The Realm. After a few years at Arrow Comics, his work on The Realm would take him to Caliber Press and his first creator owned series; the Harvey Award nominated Baker Street. It was Baker Street that led him to DC/Vertigo and Sandman Mystery Theatre with Matt Wagner and Steve Seagle, and that collaboration would lead to many more projects and deadlines over the years to come. Since then he has worked for most of the major comic publishers along with providing numerous spot illos to the White Wolf roleplaying game series. Currently Guy is illustrating Mike Mignola’s ongoing B.P.R.D. series, the serial The Zombies That Ate The World for Metal Hurlant and continuing with his creator owned series The Marquis for ONI Press. He still resides in Michigan with his fiancée, the talented painter & sculptor Rosemary Van Deuren, a cat, a rabbit, two ferrets and a couple of horse skulls named Becky and Conrad.","January 1, 1966",0,
28,"Patricia 'Trish' Mulvihill",,"Patricia Mulvihill has been the colorist for DC books such as 100 Bullets, Nightwing, Generations and The Nail. She has also colored Wonder Woman for much of the last eight years. Currently living in New York City, she sleeps too little, and drinks too much tea. Ironically, this colorist wears mostly black and white.",,0,
29,"David J. Hornung",,"None entered.",,0,
31,"Todd Klein",31_20080712122934_creator.jpg,"Todd Klein was born on January 28, 1951. He is known most for his work on Neil Gaiman's Sandman where he developed very distinctive dialogue balloons and lettering for various characters. He has worked on a variety of Vertigo Comics titles. Klein has won twelve of the last thirteen \Best Letterer/Lettering\ Eisner Awards -- that's every Eisner lettering award except one since the first was given out in 1993. As Alan Donald notes in this discussion at Silver Bullet Comic Books, \Klein's work on The Sandman was not simply distinctive but revolutionary and showed a trend that should have been followed. The letterer’s art would have been forced to the fore and one could have seen ou(r) beautiful synergistic art form become further enriched by this new trend.\ To read about Kleins' technique one need look no further than The DC Comics Guide to COLORING and LETTERING Comics, put out by Watson-Guptill Publishing. In this guide, Klein gives a pretty thorough review of how he mentally approaches a page, and then how he goes about the actual lettering, either hand lettering (ink and pen) or by use of the computer (Adobe Illustrator).","January 28, 1951",0,
32,"Kristy Quinn",,"None entered.",,0,
33,"Scott Dunbier",,"None entered.",,0,
34,"Kevin Somers",,"None entered.",,0,
35,"Ben Templesmith",35_20120104122941_creator.jpg,"Ben Templesmith (b. 7 March 1978) is an Australian commercial artist best known for his work in the American comic book industry - in particular the Eisner-nominated FELL with Warren Ellis. He has also done book covers, movie posters, trading cards, and concept work for film. As a creator, his most notable works have been 30 Days of Night (which spawned a major motion picture) and Fell. His other projects include the critically acclaimed serial Wormwood: Gentleman Corpse, as well as Welcome to Hoxford, and Singularity 7, all of which he also wrote. He has also worked on the Star Wars, Doctor Who, GI Joe, Army of Darkness, Silent Hill and Buffy: The Vampire Slayer properties and produces art and design for music bands, dvds, toys, and film concept work. Ben splits his time between New York City and Chicago with frequent trips all over the world for conventions and festivals. Reach him by email: bentemplesmith@gmail.com Film/TV/Media Agent: Angela Cheng Caplan angela@chengcaplanco.com","7th March 1978",0,"Perth, Australia"
36,"Chris Eliopoulos - '(principally a letterer)'",36_20070301145723_creator.jpg,"He is known as a prolific letterer, in particular for hand-lettering the first 100 issues of the ongoing Savage Dragon series even after much of the comic book industry (including Eliopoulos himself, on other titles) had come to rely on computer-generated fonts for dialogue; this was done at Savage Dragon creator Erik Larsen's request, Larsen preferring the individual look of hand-lettered dialogue. Eliopoulous is also known for his comic strip Desperate Times, featuring the misadventures of bachelor losers Marty and Toad, which ran as a back-up feature in Savage Dragon, and later Desperate Times comics from Savage Dragon publisher Image Comics and AAArgh! Comics. Eliopoulos also contributed lettering work to Valiant Comics, DC Comics, and other publishers. For Dark Horse Comics, Eliopoulos wrote and/or drew some Star Wars stories. Following the tragedy of 9/11, Eliopoulos contributed a moving story to a Marvel Comics benefit book about how his family was affected by the event, which shares the date of his wedding anniversary. On the side, he has managed to contributed hundreds of cartoon strips to the book series \The Complete Idiot's Guide...\ on almost every imaginable topic. He's also created dozens of custom cartoons for prestigious clients including Sports Illustrated.","September 30, 1967",0,"Astoria, Queens, New York"
37,"Gary Erskine",,"Born in Paisley, West of Glasgow, Scotland in 1968. Drew comics as a child and convinced myself that I could make a living out of it... Took a while. Been freelancing for about eighteen years and covered a variety of titles and genres. The bibliography gives you an idea of the diversity of the comics I have been lucky enough to work on and the creators who have allowed me to visualise their ideas and characters. Still living in Rutherglen but spent the last year in Heidelberg, Germany with my partner Mhairi Stewart. Splitting my time between the two countries but enjoying the experience of living abroad most of the year. More travelling around Europe planned and we are heading across the other side of the world to Australia in 2007. No kids. No pets.",,0,
38,"Brian Reber",,"None entered.",07/10/1975,0,"Mobile, Alabama"
39,"Rob Leigh",,"None entered.",,0,
40,"Rachel Gluckstern",,"None entered.",,0,
41,"Joey Cavalieri",,"None entered.",,0,
42,"Orson Scott Card",42_20080804092642_creator.jpg,"Famous science fiction writer of the Ender series. His first comic work was on Ultimate Iron Man volume 1.",,0,
43,"Andy Kubert",43_20060628165140_creator.jpg,"Andy Kubert is an American comic book artist, son of Joe Kubert, and brother of Adam Kubert, both of whom are also artists. He is a graduate of and an instructor of second-year classes at the Joe Kubert School of Cartoon and Graphic Art, founded by his father (who also teaches there). He also has a son, Jay, who is in 5th grade. While Kubert started at DC Comics, drawing Adam Strange and the Batman vs. Predator crossover, he is probably best known for his work at Marvel Comics, specifically the company's X-Men titles. An occasional cover artist on Uncanny X-Men (drawing the first cover appearance of the character Gambit) and X-Men Classic, Kubert later served as a fill-in penciller for Uncanny X-Men #279-280 and #288 before becoming the regular penciller on X-Men vol. 2 (starting with #14), following Jim Lee's departure from Marvel to form Image Comics. Both Adam and his brother, Andy, signed exclusive contracts to work for DC Comics in 2005. This came as somewhat of a shock to the industry as both the Kuberts (along with John Romita, Jr.) were known to be Marvel Comics' stalwarts, and the Kubert family was well known for its company loyalty. When Valiant Comics attempted to lure the two brothers from Marvel in 1994, they both refused, instead opting to keep their home at Marvel Comics. In a Wizard interview, the brothers made clear that they held no animosity for Marvel, but instead were excited for the chance to work on DC titles for a change.",,0,
45,"Danny K. Miki",,"None entered.",,0,
46,"Richard J. Isanove",46_20070301145452_creator.jpg,"None entered.",,0,France
49,"Nicholas Albert 'Nick' Lowe",49_20061222123220_creator.jpg,"None entered.",,0,
50,"Ralph Macchio",50_20080712125042_creator.jpg,"Ralph Macchio (Last name pronounced approximately \MAH-kee-oh\) is an American comic book editor and writer, who has held many positions at Marvel, including executive editor and editor of their popular Ultimates Line. Macchio is commonly associated with the Spider-Man comics. Macchio began his association with Marvel Comics in the 1970s, primarily because of his many letters published in Marvel comic books. Macchio met writer Don McGregor at a comic book convention, who knowing him from his letters, asked Macchio if he wanted a tour of the Marvel offices. During the tour, Macchio was asked (by writer Chris Claremont) to interview editor-in-chief Roy Thomas for FOOM (Marvel's self-produced fanzine). During the course of doing the interview, Macchio met many more Marvel employees, and eventually was asked by writer/editor John Warner to join the staff and assist Warner with Marvel's black-and-white magazine line. Macchio agreed, and has been at Marvel ever since.",,0,
51,"Michael 'Mike' Marts",51_20060909204240_creator.jpg,"None entered.",,0,
