ComicID,PublisherID,SeriesID,ComicIssueTitle,ComicIssueNumber,ComicImage,ComicCoverDate,ComicPrice,StoryArcID,ComicSynopisis,CharacterID,CreatorID,ComicRatingSum,ComicNumberOfRaters,ReviewID,TimelineItemID,ComicViewRanking,ComicVolumeID,ComicFormat
54,1,15,Goliath Conclusion,6,1/357/54_20090913040753_large.jpg,4-Jan,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
55,1,15,Downtime ,7,1/357/55_20090913043047_large.jpg,4-Feb,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
56,1,15,Downtime - Part 2,8,1/357/56_20090913043714_large.jpg,4-Mar,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
57,1,15,Island Life - Part 1,9,1/357/57_20090913044928_large.jpg,4-Apr,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
58,1,15,Island Life - Part 2,10,1/357/58_20090913045649_large.jpg,4-May,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
59,1,15,Island Life - Part 3,11,1/170/59_20070225200128_large.jpg,4-Jun,US $ 2.95,NULL,"As veteran agent Marvin Stegler digs ever closer to the truth, the beleaguered Losers race against time to seize top secret files from a Caribbean villa. But when Max's reinforcements trap them in a running battle through a town swamped by volcanic ash, they find themselves going up against the most unstoppable adversary of all: Mother Nature!",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
61,1,15,Sheikdown - Part 1,13,1/357/61_20090913160840_large.jpg,4-Aug,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
62,1,15,Sheikdown - Part 2,14,1/357/62_20090913161456_large.jpg,4-Sep,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
63,1,15,Blowback,15,1/47/63_20060226075124_large.jpg,4-Oct,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
64,1,15,"Pass, The  - Part 1",16,1/174/64_20070321135046_large.jpg,4-Nov,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
65,1,15,"Pass, The  - Part 2",17,1/174/65_20070324094358_large.jpg,4-Dec,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
66,1,15,"Pass, The  - Part 3",18,1/3/66_20050923181225_large.jpg,5-Jan,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
67,1,15,"Pass, The  - Part 4",19,1/3/67_20050923181318_large.jpg,5-Feb,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
68,1,15,London Calling - Part 1,20,1/3/68_20050923181452_large.jpg,5-Mar,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
69,1,15,London Calling - Part 2,21,1/3/69_20050923181542_large.jpg,5-Apr,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
70,1,64,Yadda Yadda Yadda,5,1/1/70_20051116123605_large.jpg,5-May,US $ 2.99,NULL,"Guy Gardner and Power Girl try to make sense of their role in the misadventures of the so-called Superbuddies""""""",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
71,1,35,"Under the Hood, Part 2: First Strike",636,1/603/71_20131221110341_large.jpg,5-Mar,US $ 2.25,NULL,"Black Mask has a shipment of some illegal material coming in and both Batman and Red Hood want to stop him. Batman and Nightwing fight through some guards with a high-tech weapons to find that the crate is filled with gimmick weapons like Captain Boomerang's boomerangs and Penguin's umbrellas. It's then blown up by a second crate containing a bomb activated by Red Hood. Batman and Nightwing chase Hood down but when they think they've cornered him, they only find Amazo.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
72,1,75,Farewell My Enemy Part 3,39,1/240/72_20080215125527_large.jpg,5-Jun,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
73,1,76,The Guilty,35,1/4/73_20050924134110_large.jpg,Nov-99,US $ 1.99,NULL,"Following the events of Day of Judgment, the new Spectre explores his place in the world and learns what sins to punish, and which sins to ignore"""".""""",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
74,1,4,"Infernal Devices, Part 3",32,1/47/74_20060224140647_large.jpg,Jul-97,US $ 2.25,NULL,"As Jack fights for his life against Copperhead in the Infernal Dr. Pip's new headquarters, the police have finally found Grundy. But, while they attempt to subdue him, he and Mason fall through the rotten sewers. Grundy tells Mason that he wanted to prove something to Jack and that's why he was near Jack's home., Meanwhile, Jack wakes up in a haze, tied up by Dr. Pip. The two villains set a bomb and intend to leave Jack to be killed with the rest of the people in the store. The Black Pirate incapacitates Copperhead and captures Dr. Pip, but the bomb still endangers them all. He manages to get many out, but the bomb still goes off, trapping Jack and several others in a collapsed section of the store. Grundy comes to the rescue, allowing the trapped people to escape, but the rubble collapses on him, presumably killing him. Before he dies, he apologizes for bad Grundy"""" killing Sylvester Pemberton.""""",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 36 pages
75,1,50,Post-Crisis,217,1/152/75_20061219145723_large.jpg,5-Feb,US $ 2.25,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
76,1,75,Fly in the Face of Danger,43,1/240/76_20080215125657_large.jpg,5-Oct,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
77,1,77,The Kid Who Won Hawkman's Wings!,116,1/903/77_20171212164451_large.jpg,Mar-75,US $ 0.60,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 100 pages
78,1,80,The Summoning,1,1/4/78_20050924150839_large.jpg,Nov-99,US $ 2.95,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
79,1,36,One Last Drink at the End of Time,1,1/195/79_20070629013227_large.jpg,5-Jun,US $ 2.50,NULL,"The forces of magic across the DC Universe are being ravaged by the Spectre run amok.  Behind the Spectre's rampage is revealed to be Eclipso, this time possessing the body of Jean Loring.  With the Spectre taking out the heavy-hitters, including turning the Phantom Stranger into a mouse, will it take some former losers to stop the Wrath of God?",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
80,1,36,Some Enchantress Evening,2,1/195/80_20070629013546_large.jpg,5-Jul,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
81,1,36,A Hot Night in Budapest,3,1/195/81_20070629014051_large.jpg,5-Aug,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 40 pages
82,1,36,Monkey Business,4,1/195/82_20070629014129_large.jpg,5-Sep,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
83,1,36,The Particle Theory of Darkness,5,1/195/83_20070629014507_large.jpg,5-Oct,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 32 pages
84,1,71,Countdown to Infinite Crisis,1,1/3/84_20051110201734_large.jpg,5-Apr,US $ 1.00,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
85,1,70,The Eye in the Sky,1,1/1/85_20050913234531_large.jpg,5-Jun,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
86,1,70,There is No I in Team,2,1/1/86_20050913234747_large.jpg,5-Jul,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
87,1,70,The M-E in Team,3,1/1/87_20050913233830_large.jpg,5-Aug,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
88,1,70,The King is Dead!,4,1/1/88_20050913233956_large.jpg,5-Sep,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
89,1,70,Long Live the King!,5,1/2/89_20050919205105_large.jpg,5-Oct,US $ 2.50,NULL,"In the wake of the death of Maxwell Lord, Brother Eye initiates the next phase in its programming.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
90,1,75,Farewell My Enemy Part 1,37,1/240/90_20080215125444_large.jpg,5-Apr,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
91,1,75,Farewell My Enemy Part 2,38,1/240/91_20080215125508_large.jpg,5-May,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
92,1,75,Farewell My Enemy Part 4,40,1/240/92_20080215125548_large.jpg,5-Jul,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
93,1,75,Farewell My Enemy Part 5,41,1/240/93_20080215125612_large.jpg,5-Aug,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
94,1,75,Farewell My Enemy Aftermath,42,1/240/94_20080215125634_large.jpg,5-Sep,US $ 2.50,NULL,None entered.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
95,1,34,"Superman, Champion of the Oppressed",1,1/148/95_20050912011413_large.jpg,Jun-38,US $ 0.10,NULL,First Superman story. Tells the story of how he came to Earth and explains his remarkable powers. He saves an innocent woman from being executed and turns in the real murderer. Then he goes on a date with Lois as Clark Kent. Some thugs nab Lois cause they want to show her a good time. Superman crushes their car like it was paper. Superman learns of an arms dealer who started a war. He ventures off to right this wrong. The story ends with one of the arms dealer's cronies at the mercy of Superman.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 64 pages
96,1,55,The Case of the Chemical Syndicate,27,1/475/96_20050912011629_large.jpg,May-39,US $ 0.10,NULL,The Batman helps Commissioner Gordon solve a murder mystery for the first time.,0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue; 64 pages
97,1,81,Rebound,1,1/37/97_20060102232643_large.jpg,4-Feb,US $ 2.95,NULL,"Plastic Man has saved the day once again! After busting two goons plotting something nefarious, Plas rakes in the ladies until they finally go home and he begs his psyche not to let him dream. So, naturally, he does. Plas dreams of Eel O'Brien and his origins. Conveniantly, he wakes up just when his origin is finished being told in dream form. The Chief has a murder case on his hands and needs the help of Plastic Man. But, bizarrely enough, they manage to find the wallet of Eel O'Brien at the crime scene and he becomes public enemy #1!",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
98,1,81,Rubber the Wrong Way,2,1/37/98_20060102233334_large.jpg,4-Mar,US $ 2.95,NULL,"Eel O'Brian has gone uncaught for years, and because Plastic Man has been on the case nearly as long (being as he, is, O'Brian), naturally he should head up the case. However, the Chief decides to call in someone new to help solve it, because of the little amount of work Plas has done on finding Eel., Fearful of letting his identity slip, Plastic Man attempts to fool the Chief with a fake Agent Morgan while Woozy redirects the real Agent Morgan. Unfortunately, his plan falls to pieces. The two get to work on the case, finally getting a lead in the form of a brick to Plastic Man's head. They follow up on it, finding Red Herring. But, otherwise, they're no closer to finding Eel... Until they find Eel's wallet on Plastic Man's person, only to conclude that they are one and the same!",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
99,1,81,Rubber Banned!,3,1/37/99_20060102234121_large.jpg,4-Apr,US $ 2.95,NULL,"With Plastic Man's identity out in the open, the FBI attempt to subdue and capture him using acetone and an extremely cold air conditioning system. As Plastic Man escapes through the ventilation system, he freezes, allowing them to transport him safely to a morgue freezer. Uncertain as to whether or not he has to breathe, they call the JLA for consultation. They tell him that he does, so they decide to have the police cart him down to the meat packing district. But, before they can get him there, he escapes from his bodybag prison.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
100,1,81,"It Was the Best of Times, It Was the Worst of Times.",4,1/37/100_20060102234809_large.jpg,4-May,US $ 2.95,NULL,"Plastic Man has escaped from FBI custody and is currently on the run to destinations unknown. Meanwhile, Woozy Winks has quickly been tossed aside by the FBI, despite being the one who caught Plas. After being literally thrown out of the building, a nefarious looking evildoer has a man disguised as a homeless man follow him to ensure that they find Plastic Man. When he attempts to foil a mugging, Woozy is kidnapped by the shadowy villain and is laid out as bait to a trap that will kill Plastic Man. When Plas discovers Woozy is being held captive, he runs to his rescue, hoping to outrace an arrow, a vat of acetone and some fire to save his best friends life.",0,0,NULL,NULL,0,NULL,0,NULL,Color;  Standard Comic Issue
